-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 11/01/2020 through 02/28/2021 
Location: Latitude  51.5072   Longitude 10.8308 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 357.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
WS10M       MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M,WS10M,RH2M,T2M_MAX,T2M_MIN
2021,2,8,-11.59,4.3,97.38,-9.87,-14.31
2021,2,9,-15.05,1.74,96.81,-11.75,-18.02
2021,2,10,-13.23,2.68,98.19,-7.33,-18.74
2021,2,11,-9.2,3.02,97.94,-5.69,-11.83
2021,2,12,-10.86,2.9,99.38,-6.77,-14.27
2021,2,13,-12.17,1.74,97.62,-5.24,-16.01
2021,2,14,-11.28,2.87,96.12,-3.79,-18.14
2021,2,15,-5.51,5.77,93.56,0.25,-9.45
2021,2,16,0.26,4.8,98.44,0.35,0.19
2021,2,17,1.83,5.16,97.5,3.69,0.43
2021,2,18,2.3,4.66,95.25,5.48,0.82
2021,2,19,2.76,4.48,89.88,6.99,-0.07
2021,2,20,4.3,4.37,95.31,10.31,-0.1
2021,2,21,5.88,4.42,91.12,13.36,1.72
2021,2,22,4.23,3.52,85.5,11.58,-1.02
2021,2,23,7.29,4.41,92.0,14.01,2.43
2021,2,24,8.73,4.12,92.44,15.38,4.33
2021,2,25,8.3,3.93,90.88,15.1,3.41
2021,2,26,4.78,3.64,90.75,6.58,1.51
2021,2,27,2.19,3.31,93.88,5.12,0.83
2021,2,28,3.39,1.69,91.0,8.22,0.98
